PUBCHEM_EXT_DATASOURCE_REGID,PUBCHEM_SUBSTANCE_SYNONYM,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_SUBSTANCE_COMMENT
"CCSBASE_CE37D49477","11-Deoxycortisol","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_35719C8F5C","11-Deoxycorticosterone","CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_919EACC9CD","4-Pyridoxic acid","CC1=NC=C(C(=C1O)C(=O)O)CO","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_9F09858C60","3-Iodo-L-tyrosine","C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_E3364B772D","D-Biotin","C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_96D242D8CB","L-Carnosine","C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_92E725E8CB","Aldosterone","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_24DA5D43CD","7,8-Dihydrobiopterin","C[C@@H]([C@@H](C1=NC2=C(NC1)NC(=NC2=O)N)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_27ADC2BE4F","Betaine","C[N+](C)(C)CC(=O)[O-]","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_F7020E0FD5","L-Ascorbic acid","C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_50B4BBA357","Argininosuccinic acid","C(C[C@@H](C(=O)O)N)CN=C(N)N[C@@H](CC(=O)O)C(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_D17123F053","Androstenedione","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_13D037155E","Adenosine 3',5'-diphosphate","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_7699819D61","Hydrocortisone (Cortisol)","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_20E2D1AE1F","Creatine","CN(CC(=O)O)C(=N)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_9DACE42A2C","Deoxyinosine","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)CO)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_934885B838","Dihydrothymine","CC1CNC(=O)NC1=O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_246D6CC53A","Glycerophosphocholine","C[N+](C)(C)CCOP(=O)([O-])OC[C@@H](CO)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_4CAB97ECB8","L-Cystathionine","C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_B5919C7E00","Deoxyadenosine","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)CO)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_2C1AE9ADE3","Guanidoacetic acid","C(C(=O)O)N=C(N)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_349D7837EA","Estrone","C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_F38B4EDD20","3,4-Dihydroxy-L-phenylalanine","C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_A45956D6AF","L-Anserine","CN1C=NC=C1C[C@@H](C(=O)O)NC(=O)CCN","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_6CACB7847A","Indoleacetic acid","C1=CC=C2C(=C1)C(=CN2)CC(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_8FA0C74E46","N6-Acetyl-L-lysine","CC(=O)NCCCC[C@@H](C(=O)O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_DD47E92B60","Nicotinamide adenine dinucleotide phosphate (NADP)","C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)OP(=O)(O)O)O)O)O)C(=O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_729E9BAAA6","Nicotinamide ribotide","C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)[O-])O)O)C(=O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_DEDCCF0175","Testosterone","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_4DF2BAB62D","Sepiapterin","C[C@@H](C(=O)C1=NC2=C(NC1)NC(=NC2=O)N)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_BC9C7D92D2","Pyridoxine","CC1=NC=C(C(=C1O)CO)CO","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_464E2419E4","Protoporphyrin IX","CC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)C)CCC(=O)O)CCC(=O)O)C)C=C)C)C=C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_2668489827","Riboflavin (Vitamin B2)","CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_F12DC397B3","L-Thyroxine","C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_BA995D57D3","Sphingosine","CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_EBF0BF6D26","Pregnenolone","CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_9890BCA136","Squalene","CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_8682FECF98","Liothyronine","C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_F9D98993C9","Sphinganine","CCCCCCCCCCCCCCC[C@H]([C@H](CO)N)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_75794E000E","L-Saccharopine","C(CCN[C@@H](CCC(=O)O)C(=O)O)C[C@@H](C(=O)O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_BA08319B7F","UDP-N-acetylglucosamine","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_9F30A2FE0D","Urocanic acid","C1=C(NC=N1)/C=C/C(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_6DEA321124","17alpha-Hydroxyprogesterone","CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_71B392B744","2-Hydroxyadenine","C1=NC2=NC(=O)NC(=C2N1)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_91037090DB","5-Hydroxy-L-lysine","C(C[C@@H](C(=O)O)N)[C@H](CN)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_68ADA29B32","Allocystathionine","C(CSCC(C(=O)O)N)[C@@H](C(=O)O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_9461743679","Biopterin","C[C@H]([C@H](C1=CN=C2C(=N1)C(=O)N=C(N2)N)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_CAF2ABEB5E","3-Methylhistidine","CN1C=NC=C1C[C@@H](C(=O)O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_B83C3FB9D4","Vanillic acid","COC1=C(C=CC(=C1)C(=O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_1785C606BE","DL-2-Aminoadipic acid","C(CC(C(=O)O)N)CC(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_71C0474B6D","Adenosine 5'-triphosphate","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_9914AFCB32","Creatinine","CN1CC(=O)N=C1N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_A2268E2CF1","Coproporphyrin III","CC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)C)CCC(=O)O)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_06BB06CB95","DL-Homocystine","C(CSSCCC(C(=O)O)N)C(C(=O)O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_8ECCCEBF21","3,5-Diiodothyronine","C1=CC(=CC=C1O)OC2=C(C=C(C=C2I)CC(C(=O)O)N)I","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_F6CD6376B9","Cyanocobalamin (Vitamin B12)","CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CC[C@@]\4([C@H]([C@@H]5[C@]6([C@@]([C@@H](C(=N6)/C(=C\7/[C@@]([C@@H](C(=N7)/C=C\8/C([C@@H](C(=N8)/C(=C4\[N-]5)/C)CCC(=O)N)(C)C)CCC(=O)N)(C)CC(=O)N)/C)CCC(=O)N)(C)CC(=O)N)C)CC(=O)N)C)O.[C-]#N.[Co+3]","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_57FCB69EDE","Indolelactic acid","C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_7C1F18D824","Isovalerylglycine","CC(C)CC(=O)NCC(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_8C96204416","L-Kynurenine","C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_3186456E1F","Glycolithocholic acid","C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_3C29E003C2","L-Aspartyl-L-phenylalanine","C1=CC=C(C=C1)C[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)N","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
"CCSBASE_31E4929F93","Kynurenic acid","C1=CC=C2C(=C1)C(=O)C=C(N2)C(=O)O","CCS_Type: 'DT' | Reference: 'https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091'"
