g_id,name,adduct,mz,mass,z,ccs,ccs_type,ccs_method,smi,ref
"CCSBASE_B0A580A54C","1-Stearoyl-sn-glycerol","[M+H-H2O]+",341.3055,341.3055,1,199.60,"DT","single field calibrated with Agilent tune mix (Agilent)","CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CO)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_62B996143F","L-leucyl-L-proline","[M+H-H2O]+",211.1446,211.1446,1,149.50,"DT","single field calibrated with Agilent tune mix (Agilent)","CC(C)C[C@@H](C(=O)N1CCC[C@H]1C(=O)O)N","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_CC69D4A221","3-Hydroxy-L-kynurenine","[M+H-H2O]+",207.0769,207.0769,1,137.50,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC(=C(C(=C1)O)N)C(=O)C[C@@H](C(=O)O)N","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_0870EDB8B1","4-Oxoretinol","[M+H-H2O]+",283.2061,283.2061,1,173.30,"DT","single field calibrated with Agilent tune mix (Agilent)","CC1=C(C(CCC1=O)(C)C)/C=C/C(=C/C=C/C(=C/CO)/C)/C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_5303840951","Coniferol","[M+H-H2O]+",163.0758,163.0758,1,128.60,"DT","single field calibrated with Agilent tune mix (Agilent)","COC1=C(C=CC(=C1)/C=C/CO)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_0F305A96EF","Sinapyl alcohol","[M+H-H2O]+",193.0864,193.0864,1,136.50,"DT","single field calibrated with Agilent tune mix (Agilent)","COC1=CC(=CC(=C1O)OC)/C=C/CO","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_8179EAF063","Epinephrine","[M+H-H2O]+",166.0867,166.0867,1,138.30,"DT","single field calibrated with Agilent tune mix (Agilent)","CNC[C@@H](C1=CC(=C(C=C1)O)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_24B6EB62AD","Taurine","[M+H-H2O]+",108.0119,108.0119,1,135.40,"DT","single field calibrated with Agilent tune mix (Agilent)","C(CS(=O)(=O)O)N","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_5E7E3A6465","Glucosamine","[M+H-H2O]+",162.0766,162.0766,1,132.90,"DT","single field calibrated with Agilent tune mix (Agilent)","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_75093F9083","Cortexolone","[M+H]+",347.2222,347.2222,1,187.40,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_CE37D49477","11-Deoxycortisol","[M+H]+",347.2222,347.2222,1,187.40,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_35719C8F5C","11-Deoxycorticosterone","[M+H]+",331.2273,331.2273,1,186.50,"DT","single field calibrated with Agilent tune mix (Agilent)","CC12CCC3C(C1CCC2C(=O)CO)CCC4=CC(=O)CCC34C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_919EACC9CD","4-Pyridoxic acid","[M+H]+",184.0610,184.0610,1,135.80,"DT","single field calibrated with Agilent tune mix (Agilent)","CC1=NC=C(C(=C1O)C(=O)O)CO","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_9F09858C60","3-Iodo-L-tyrosine","[M+H]+",307.9783,307.9783,1,158.80,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC(=C(C=C1C[C@@H](C(=O)O)N)I)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_E3364B772D","D-Biotin","[M+H]+",245.0960,245.0960,1,150.40,"DT","single field calibrated with Agilent tune mix (Agilent)","C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_96D242D8CB","L-Carnosine","[M+H]+",227.1144,227.1144,1,151.00,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_92E725E8CB","Aldosterone","[M+H]+",361.2015,361.2015,1,187.70,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C=O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_24DA5D43CD","7,8-Dihydrobiopterin","[M+H]+",240.1096,240.1096,1,154.10,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@@H]([C@@H](C1=NC2=C(NC1)NC(=NC2=O)N)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_27ADC2BE4F","Betaine","[M+H]+",118.0868,118.0868,1,121.40,"DT","single field calibrated with Agilent tune mix (Agilent)","C[N+](C)(C)CC(=O)[O-]","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_F7020E0FD5","L-Ascorbic acid","[M+H]+",177.0399,177.0399,1,138.60,"DT","single field calibrated with Agilent tune mix (Agilent)","C([C@@H]([C@@H]1C(=C(C(=O)O1)O)O)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_50B4BBA357","Argininosuccinic acid","[M+H]+",291.1304,291.1304,1,163.90,"DT","single field calibrated with Agilent tune mix (Agilent)","C(C[C@@H](C(=O)O)N)CN=C(N)N[C@@H](CC(=O)O)C(=O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_D17123F053","Androstenedione","[M+H]+",287.2011,287.2011,1,173.30,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CCC4=O)C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_13D037155E","Adenosine 3',5'-diphosphate","[M+H]+",428.0372,428.0372,1,182.50,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)OP(=O)(O)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_7699819D61","Hydrocortisone (Cortisol)","[M+H]+",363.2171,363.2171,1,189.10,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_20E2D1AE1F","Creatine","[M+H]+",132.0773,132.0773,1,125.90,"DT","single field calibrated with Agilent tune mix (Agilent)","CN(CC(=O)O)C(=N)N","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_9DACE42A2C","Deoxyinosine","[M+H]+",253.0937,253.0937,1,151.70,"DT","single field calibrated with Agilent tune mix (Agilent)","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)CO)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_934885B838","Dihydrothymine","[M+H]+",129.0664,129.0664,1,131.20,"DT","single field calibrated with Agilent tune mix (Agilent)","CC1CNC(=O)NC1=O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_246D6CC53A","Glycerophosphocholine","[M+H]+",258.1106,258.1106,1,155.50,"DT","single field calibrated with Agilent tune mix (Agilent)","C[N+](C)(C)CCOP(=O)([O-])OC[C@@H](CO)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_4CAB97ECB8","L-Cystathionine","[M+H]+",223.0752,223.0752,1,147.00,"DT","single field calibrated with Agilent tune mix (Agilent)","C(CSC[C@@H](C(=O)O)N)[C@@H](C(=O)O)N","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_B5919C7E00","Deoxyadenosine","[M+H]+",252.1096,252.1096,1,152.30,"DT","single field calibrated with Agilent tune mix (Agilent)","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=CN=C3N)CO)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_2C1AE9ADE3","Guanidoacetic acid","[M+H]+",118.0616,118.0616,1,124.80,"DT","single field calibrated with Agilent tune mix (Agilent)","C(C(=O)O)N=C(N)N","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_349D7837EA","Estrone","[M+H]+",271.1698,271.1698,1,164.30,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_F38B4EDD20","3,4-Dihydroxy-L-phenylalanine","[M+H]+",198.0766,198.0766,1,148.70,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_A45956D6AF","L-Anserine","[M+H]+",241.1300,241.1300,1,154.10,"DT","single field calibrated with Agilent tune mix (Agilent)","CN1C=NC=C1C[C@@H](C(=O)O)NC(=O)CCN","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_6CACB7847A","Indoleacetic acid","[M+H]+",176.0711,176.0711,1,136.20,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC=C2C(=C1)C(=CN2)CC(=O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_8FA0C74E46","N6-Acetyl-L-lysine","[M+H]+",189.1239,189.1239,1,142.30,"DT","single field calibrated with Agilent tune mix (Agilent)","CC(=O)NCCCC[C@@H](C(=O)O)N","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_DD47E92B60","Nicotinamide adenine dinucleotide phosphate (NADP)","[M+H]+",744.0833,744.0833,1,230.90,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C4N=CN=C5N)OP(=O)(O)O)O)O)O)C(=O)N","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_729E9BAAA6","Nicotinamide ribotide","[M+H]+",335.0644,335.0644,1,165.20,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)[O-])O)O)C(=O)N","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_DEDCCF0175","Testosterone","[M+H]+",289.2167,289.2167,1,172.70,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)CCC4=CC(=O)CC[C@]34C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_4DF2BAB62D","Sepiapterin","[M+H]+",238.0940,238.0940,1,152.80,"DT","single field calibrated with Agilent tune mix (Agilent)","C[C@@H](C(=O)C1=NC2=C(NC1)NC(=NC2=O)N)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_BC9C7D92D2","Pyridoxine","[M+H]+",170.0817,170.0817,1,134.60,"DT","single field calibrated with Agilent tune mix (Agilent)","CC1=NC=C(C(=C1O)CO)CO","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_464E2419E4","Protoporphyrin IX","[M+H]+",563.2658,563.2658,1,241.40,"DT","single field calibrated with Agilent tune mix (Agilent)","CC1=C(C2=CC3=C(C(=C(N3)C=C4C(=C(C(=N4)C=C5C(=C(C(=N5)C=C1N2)C)CCC(=O)O)CCC(=O)O)C)C=C)C)C=C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_2668489827","Riboflavin (Vitamin B2)","[M+H]+",377.1461,377.1461,1,188.30,"DT","single field calibrated with Agilent tune mix (Agilent)","CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_F12DC397B3","L-Thyroxine","[M+H]+",777.6945,777.6945,1,216.20,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)C[C@@H](C(=O)O)N","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_BA995D57D3","Sphingosine","[M+H]+",300.2902,300.2902,1,186.00,"DT","single field calibrated with Agilent tune mix (Agilent)","CCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_EBF0BF6D26","Pregnenolone","[M+H]+",317.2480,317.2480,1,174.00,"DT","single field calibrated with Agilent tune mix (Agilent)","CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_9890BCA136","Squalene","[M+H]+",411.3991,411.3991,1,210.90,"DT","single field calibrated with Agilent tune mix (Agilent)","CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_8682FECF98","Liothyronine","[M+H]+",651.7978,651.7978,1,209.70,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=CC(=C(C=C1OC2=C(C=C(C=C2I)C[C@@H](C(=O)O)N)I)I)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_F9D98993C9","Sphinganine","[M+H]+",302.3059,302.3059,1,188.00,"DT","single field calibrated with Agilent tune mix (Agilent)","CCCCCCCCCCCCCCC[C@H]([C@H](CO)N)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_75794E000E","L-Saccharopine","[M+H]+",277.1399,277.1399,1,159.80,"DT","single field calibrated with Agilent tune mix (Agilent)","C(CCN[C@@H](CCC(=O)O)C(=O)O)C[C@@H](C(=O)O)N","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_BA08319B7F","UDP-N-acetylglucosamine","[M+H]+",608.0894,608.0894,1,208.80,"DT","single field calibrated with Agilent tune mix (Agilent)","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
"CCSBASE_9F30A2FE0D","Urocanic acid","[M+H]+",139.0507,139.0507,1,134.10,"DT","single field calibrated with Agilent tune mix (Agilent)","C1=C(NC=N1)/C=C/C(=O)O","https://pubs.acs.org/doi/abs/10.1021/acs.analchem.6b03091"
